approach,chunk_size,overlap,chunk_count,build_seconds,mean_term_coverage,evaluated,hit_at_k,mrr,latency_mean_ms,latency_p50_ms,latency_p95_ms,status
bm25,450,75,136,11.501,0.9667,30,1.0,0.9333,1.465,1.063,3.992,completed
faiss_dense,450,75,136,11.501,0.9,30,0.9,0.6817,50.617,43.733,114.012,completed
hybrid_rrf,450,75,136,11.501,0.9667,30,1.0,0.8511,51.834,49.917,79.165,completed
bm25,900,150,67,12.319,1.0,30,1.0,0.9056,1.096,0.933,1.953,completed
faiss_dense,900,150,67,12.319,0.9167,30,0.9,0.7583,41.895,38.337,60.399,completed
hybrid_rrf,900,150,67,12.319,1.0,30,1.0,0.8361,39.835,37.634,54.518,completed
hybrid_rrf_reranker,900,150,67,12.319,1.0,30,1.0,0.8361,1789.568,1646.062,3230.697,completed
hybrid_rrf_evidence_gate,900,150,67,12.319,1.0,30,1.0,0.8361,1789.784,1919.058,2336.731,completed
bm25,1350,225,48,11.235,1.0,30,1.0,0.8667,1.03,0.954,1.702,completed
faiss_dense,1350,225,48,11.235,0.9167,30,0.9333,0.7389,91.205,83.317,164.624,completed
hybrid_rrf,1350,225,48,11.235,0.9667,30,0.9667,0.8556,46.33,42.813,65.452,completed
